  135,    0,    0,   34,    0,    0,    0,    0,    0,    0,    0,    0,    0
 1265,    2,    0,  695,    0,    0,    0,    0,    0,   14,    0,    0,    0
 4004,   78,    0, 3499,    0,    0,    0,    0,    0,  299,    0,    0,    0
 7806, 1103,    0, 8001,    0,    1,    0,    0,    0, 2582,    0,    0,   34
12368, 3920,    5,11619,    0,   45,    0,    0,    0, 8009,    0,    2, 1038
14768, 6263,  348,12344,    0, 1069,    0,    0,    0,12319,    0,  133, 5682
11580, 7718, 2193,10517,    0, 4419,    0,   29,    0,15163,   11, 2082,10398
 8681, 6883, 6343, 9336,    1, 9530,    0,  553,    0,13246,  552, 7195,15319
 6539, 5732,11067, 7018,   47,14195,    0, 3919,    0,10527, 3265,10925,16664
 3887, 4715,10911, 3215,  889,16249,    6, 8939,    0, 8673, 7055,12548,14963
 1274, 2815,10028,  767, 4055,14056,  188,13414,    6, 5199,10537,11219,10898
  214,  780, 8337,   78, 8430,10909, 2050,14894,  230, 1834,11141, 9077, 8527
    4,   46, 6938,    1,12455, 8559, 7068,12283, 2256,  274, 9488, 7281, 4200
    0,    3, 3842,    0,13620, 5099,11796,10248, 7542,    9, 9008, 4150, 1310
    0,    0,  972,    0,11490, 1973,15302, 7216,12589,    0, 6114,  976,  100
    0,    0,   75,    0, 9572,  243,15960, 3226,15518,    0, 2786,  101,    3
    0,    0,    2,    0, 7800,   14,13677,  662,14815,    0,  532,    7,    0
    0,    0,    0,    0, 4669,    0,10862,   56,12265,    0,   40,    0,    0
    0,    0,    0,    0, 1212,    0, 8192,    1, 9940,    0,    0,    0,    0
    0,    0,    0,    0,  113,    0, 4124,    0, 7160,    0,    0,    0,    0
    0,    0,    0,    0,    2,    0,  893,    0, 2814,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,  133,    0,  604,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    4,    0,   27,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    1,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   35,    0,    0,   27,    0,    0,    0,    0,    0,    7,    0,    0,    0
  863,    6,    0,  750,    0,    0,    0,    0,    0,  235,    0,    0,    0
 4279,  259,    0, 3624,    0,    0,    0,    0,    0, 1961,    0,    0,    2
 6878, 2137,    0, 7337,    0,    0,    0,    0,    0, 6400,    0,    0,  232
 8840, 4357,   57,10418,    0,  134,    0,    0,    0,10836,    0,   42, 2270
11572, 6384, 1285,11620,    0, 1822,    0,    3,    0,14405,    1,  796, 7186
11561, 7491, 5464,10423,    0, 6417,    0,  140,    0,16134,  112, 4045,12788
 8727, 6433, 9568, 8679,    2,10841,    0, 1600,    0,12834, 1449, 8424,12763
 6689, 5142,11618, 7117,  114,14644,    0, 6289,    0, 9945, 5183,12846,13660
 5252, 3932,12173, 2893, 1233,16557,   16,10361,    1, 7397, 8375,14034,11589
 2529, 2062,10152,  734, 3970,14529,  516,13846,   45, 3858, 8870,12887, 8555
  487,  407, 8285,   39, 8488,10905, 3445,13997,  982,  678, 9207,10005, 4733
   32,   21, 5292,    1,11648, 8181, 9114,11159, 5207,   43, 8185, 7133, 1337
    0,    0, 1966,    0,12923, 4311,12713, 8876, 9941,    3, 6300, 2938,  110
    0,    0,  277,    0,12074, 1191,17589, 5841,13902,    0, 3478,  543,    5
    0,    0,   10,    0, 9126,  103,16804, 1876,16745,    0,  945,   41,    0
    0,    0,    0,    0, 7158,    5,13333,  228,15303,    0,   80,    0,    0
    0,    0,    0,    0, 3368,    0,10413,    6,11579,    0,    0,    0,    0
    0,    0,    0,    0,  929,    0, 7847,    0, 9029,    0,    0,    0,    0
    0,    0,    0,    0,   62,    0, 3919,    0, 5403,    0,    0,    0,    0
    0,    0,    0,    0,    2,    0,  942,    0, 1661,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,   93,    0,  137,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    2,    0,    2,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   47,    0,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0
  596,    0,    0,   57,    0,    0,    0,    0,    0,   50,    0,    0,    0
 2509,  115,    0,  973,    0,    0,    0,    0,    0,  817,    0,    0,    0
 5277, 1591,    0, 4523,    0,    0,    0,    0,    0, 4317,    0,    0,   11
 9852, 4246,   21, 8188,    0,    5,    0,    0,    0, 9302,    0,   14,  577
12541, 5798,  428,10946,    0,  335,    0,    0,    0,12859,    0,  227, 3714
