 81,  0,255,255,255,255,255,255, 12,255,255,255
  0,  0,  0,  0,  0,223,  3, 24,  0,  9,  0,  2
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
  0,255,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
255,255, 13, 56, 50,  0,  2,  0,  9,  0,  1,  1
255,255,255,255,255,  5,255,  0,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255, 11,255,255,255,255,255,255,255,255,255,255
255,  0,255,255,108,255,255,255, 24,255,255,255
  4,  0,  4,  4,  0,255,  4,255,  0, 14,  1,  4
  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
  0,255,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
176,255,  8, 95,255,  0, 63,  0, 19,  2,  4,186
255,255,255,255,255,  1,255,  0,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
