    0,    0,    0,    0, 1306,    0,10899,  153,15930,    0,    0,    0,    0
    0,    0,    0,    0,  424,    0, 7675,   15,12259,    0,    0,    0,    0
    0,    0,    0,    0,   24,    0, 3978,    0, 7154,    0,    0,    0,    0
    0,    0,    0,    0,    1,    0, 1420,    0, 3451,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,  342,    0, 1044,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,   21,    0,  172,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   51,    0,    0,    7,    0,    0,    0,    0,    0,    7,    0,    0,    0
  673,    7,    0,  267,    0,    0,    0,    0,    0,  119,    0,    0,    0
 3046,  179,    0, 2802,    0,    0,    0,    0,    0, 1887,    0,    0,   28
 6546, 1295,    0, 8099,    0,    0,    0,    0,    0, 7924,    0,    0, 1160
10312, 3487,   64,12716,    0,   13,    0,    0,    0,13654,    1,   35, 5941
12910, 6760, 1004,15427,    0,  443,    0,    0,    0,17478,   30,  843,12854
12266, 8505, 6042,12370,    0, 3548,    0,    2,    0,17274,  706, 3994,18756
10792, 7973,10448, 8825,    4,10249,    0,   87,    0,11781, 4374,10457,21626
 8159, 5587,14657, 5396,   50,14833,    0, 1129,    0, 7592, 9641,15730,15957
 4161, 2825,16558, 2072,  682,17784,    0, 5181,    0, 3433,15208,14925, 9413
  550,  762,13281,  381, 4132,17280,   21,11325,    0,  963,14669,11051, 5519
   10,   47, 7745,   30, 9371,12529,  746,16008,  132,  180,11055, 7049, 1951
    0,    0, 3709,    1,14078, 8120, 3417,15335, 1047,    1, 6454, 2476,  192
    0,    0, 1034,    0,16371, 4145, 8553,10980, 5257,    0, 2319,  393,    7
    0,    0,  130,    0,15442, 1160,14280, 6663,11880,    0,  704,   47,    1
    0,    0,    1,    0,10503,  196,19080, 2926,16395,    0,  136,    4,    0
    0,    0,    0,    0, 5600,   20,17259,  727,18775,    0,    3,    0,    0
    0,    0,    0,    0, 2353,    0,13297,   37,16120,    0,    0,    0,    0
    0,    0,    0,    0,  526,    0, 8879,    3,11836,    0,    0,    0,    0
    0,    0,    0,    0,   73,    0, 4976,    0, 7459,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0, 1406,    0, 2617,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,  309,    0,  775,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,   19,    0,  119,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    7,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
  212,    0,    0,   23,    0,    0,    0,    0,    0,   43,    0,    0,    0
 1364,   12,    0,  447,    0,    0,    0,    0,    0,  665,    0,    0,    0
 3321,  296,    0, 2434,    0,    0,    0,    0,    0, 3576,    0,    0,   77
 7385, 1886,    4, 5890,    0,    0,    0,    0,    0, 8667,    0,    3, 1446
11434, 4465,  221,11835,    0,   51,    0,    0,    0,14939,    0,  114, 5971
14518, 7291, 2524,15321,    0, 1137,    0,    0,    0,18413,   57, 1495,12107
13107, 8808, 6365,14810,    0, 4027,    0,    5,    0,16534, 1111, 6263,17600
 9800, 7584,10933,10261,    1, 9783,    0,  300,    0, 9991, 5049,13077,17242
 6152, 4596,14337, 5831,   53,15041,    0, 2672,    0, 4819, 9254,16579,12418
 2118, 1965,14528, 2358,  803,19730,    0, 6791,    0, 1978,12756,17238, 7937
  382,  411,10182,  498, 2711,18135,   56,12569,    3,  361,14394,12248, 2856
   15,   16, 5349,   41, 7712,12457, 1256,16239,  286,    7, 8510, 6373,  507
    0,    1, 1419,    1,12500, 8109, 4708,14397, 1635,    1, 3555, 2058,   25
    0,    0,  219,    0,15506, 3453, 9185,10099, 5386,    0, 1245,  495,    5
    0,    0,   15,    0,13597,  732,15287, 4877,11863,    0,  258,   52,    0
    0,    0,    0,    0, 8470,   75,18539, 1451,17369,    0,    9,    0,    0
    0,    0,    0,    0, 4735,    8,18125,  244,18495,    0,    0,    0,    0
    0,    0,    0,    0, 1791,    0,14862,   16,15583,    0,    0,    0,    0
    0,    0,    0,    0,  268,    0, 9382,    0,10156,    0,    0,    0,    0
    0,    0,    0,    0,   11,    0, 3948,    0, 4987,    0,    0,    0,    0
    0,    0,    0,    0,    1,    0, 1276,    0, 1717,    0,    0,    0,    0
    0,    0,    0,    0,    0,    0,  307,    0,  430,    0,    0,    0,    0
