255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255, 18,255,255,255,255,255,255,255,255,255,255
 29,  0, 35, 36, 35,255, 49,255, 24,255, 42, 59
  3,  0,  4,  4,  0, 32,  6, 36,  0, 21,  0,  9
  0,255,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
255,255,115,255,222,  0, 56,  0,255,  0, 66, 51
255,255,255,255,255,213,255, 37,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255, 92,255,255,255,255,255,255,255,255,255,255
255, 12,255,255,255,255,255,255,188,255,255,255
 45,  0, 31, 39, 29,255, 37,255, 22,255, 40, 56
  7,255,  1,  2,  0, 23,  0, 28,  0, 26,  0,  3
  0,255,  0,  0,  0,  0,  0,  4,  0,  0,  0,  0
255,255,255,255,255,  1,255,  0,255,  2,255,255
