  0,208,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
 39,255,  1,  5,  0,  0,  0,  0,  1,  0,  0,  0
255,255,255,255,255, 18,255,  1,255, 30,255,152
255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255, 37,255,255,255,255,255,255,255,255,255,255
255,  0,255,255,255,255,255,255, 30,255, 96,255
  3,  0,  4,  4,  5, 41, 16, 77,  0, 90,  4, 11
  0,255,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
  0,255,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
255,255,255,255,255,141,255,  0,255, 10,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255,255,255,255,255,255,255,255,255,255,255,255
255, 24,255,255,255,255,255,255,255,255,255,255
255,  0,181,255,255,255,255,255, 19,255,112,255
