voltage,timestamp,cb_settings,cb_pusm,ngood,maxgood,mingood,maxgood_index,mingood_index,third,third_index,used,used_index,used_phases,time,TID
float64,object,object,object,int64,int64,int64,int64,int64,int64,int64,int32,int64,object,datetime64[ns],float64
1.08,28Sep_181751,[ 27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,123,27,35,19,56,24,29,21,['6' '6' '7' '7' '7' '8' '8' '7' '7' '7' '7' '7'],2022-09-28 18:18:07,284.05121388888887
1.32,28Sep_181751,[ 24  25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,121,24,33,16,30,22,29,21,['6' '6' '7' '7' '7' '8' '8' '7' '7' '7' '7' '7'],2022-09-28 18:21:14,284.33742777777775
1.2,28Sep_181751,"[ 25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122
 123]",[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],19,123,25,35,17,31,23,29,21,['6' '6' '7' '7' '7' '8' '8' '7' '7' '7' '7' '7'],2022-09-28 18:24:30,284.63741666666664
1.08,28Sep_185119,[ 27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,123,27,35,19,56,24,29,21,['6' '6' '7' '7' '7' '8' '8' '8' '7' '8' '7' '7'],2022-09-28 18:51:35,287.12456944444443
1.32,28Sep_185119,[ 24  25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,121,24,33,16,30,22,29,21,['6' '6' '7' '7' '7' '8' '8' '8' '7' '8' '7' '7'],2022-09-28 18:54:41,287.40925277777774
1.2,28Sep_185119,"[ 25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122
 123]",[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],19,123,25,35,17,31,23,29,21,['6' '6' '7' '7' '7' '8' '8' '8' '7' '8' '7' '7'],2022-09-28 18:57:58,287.7107722222222
1.08,28Sep_192331,[ 27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,123,27,35,19,56,24,29,21,['7' '6' '7' '7' '7' '8' '8' '8' '7' '7' '7' '7'],2022-09-28 19:23:48,290.0831333333333
1.32,28Sep_192331,[ 24  25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,121,24,33,16,30,22,29,21,['7' '6' '7' '7' '7' '8' '8' '8' '7' '7' '7' '7'],2022-09-28 19:26:54,290.3678166666666
1.2,28Sep_192331,[ 26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122 123],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,123,26,35,18,56,24,29,21,['7' '6' '7' '7' '7' '8' '8' '8' '7' '7' '7' '7'],2022-09-28 19:30:10,290.66780555555556
1.08,28Sep_195539,[ 27  28  29  30  31  56  57  58  59  60  61  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,123,27,35,19,56,24,29,21,['7' '6' '7' '7' '7' '8' '8' '7' '7' '7' '7' '7'],2022-09-28 19:55:55,293.0325138888889
1.32,28Sep_195539,[ 24  25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,121,24,33,16,30,22,29,21,['7' '6' '7' '7' '7' '8' '8' '7' '7' '7' '7' '7'],2022-09-28 19:58:51,293.3018916666667
1.2,28Sep_195539,[ 26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,123,26,35,18,56,24,29,21,['7' '6' '7' '7' '7' '8' '8' '7' '7' '7' '7' '7'],2022-09-28 20:02:17,293.6171861111111
1.08,28Sep_202736,[ 27  28  29  30  31  56  57  58  59  60  61  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,123,27,35,19,56,24,29,21,['7' '6' '7' '7' '7' '8' '8' '8' '7' '7' '7' '7'],2022-09-28 20:27:53,295.9681194444444
1.32,28Sep_202736,[ 24  25  26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,121,24,33,16,30,22,29,21,['7' '6' '7' '7' '7' '8' '8' '8' '7' '7' '7' '7'],2022-09-28 20:30:49,296.2374972222222
1.2,28Sep_202736,[ 26  27  28  29  30  31  56  57  58  59  60  61  62  63 120 121 122 123],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],18,123,26,35,18,56,24,29,21,['7' '6' '7' '7' '7' '8' '8' '8' '7' '7' '7' '7'],2022-09-28 20:34:04,296.5359555555555
